root:  /root
daemon:  /usr/sbin
bin:  /bin
sys:  /dev
sync:  /bin
games:  /usr/games
man:  /var/cache/man
lp:  /var/spool/lpd
mail:  /var/mail
news:  /var/spool/news
uucp:  /var/spool/uucp
proxy:  /bin
www-data:  /var/www
backup:  /var/backups
list:  /var/list
irc:  /run/ircd
_apt:  /nonexistent
nobody:  /nonexistent
systemd-network:  /
systemd-timesync:  /
dhcpcd:  /usr/lib/dhcpcd
messagebus:  /nonexistent
syslog:  /nonexistent
systemd-resolve:  /
uuidd:  /run/uuidd
usbmux:  /var/lib/usbmux
tss:  /var/lib/tpm
systemd-oom:  /
kernoops:  /
whoopsie:  /nonexistent
dnsmasq:  /var/lib/misc
avahi:  /run/avahi-daemon
tcpdump:  /nonexistent
sssd:  /var/lib/sss
speech-dispatcher:  /run/speech-dispatcher
cups-pk-helper:  /nonexistent
fwupd-refresh:  /var/lib/fwupd
saned:  /var/lib/saned
geoclue:  /var/lib/geoclue
cups-browsed:  /nonexistent
hplip:  /run/hplip
gnome-remote-desktop:  /var/lib/gnome-remote-desktop
polkitd:  /
rtkit:  /proc
colord:  /var/lib/colord
gnome-initial-setup:  /run/gnome-initial-setup/
gdm:  /var/lib/gdm3
nm-openvpn:  /var/lib/openvpn/chroot
likura:  /home/likura
admin:  /home/admin
user:  /home/user
user1:  /home/user1
